               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.029281,            0.015535,           0.0081458,             0.76977,             0.80837,             0.80422,             0.55608,            0.031051,           0.0093987,           0.0078934,             0.00901,             0.00901,             0.00901
                  52,            0.029467,            0.015911,           0.0079984,             0.86006,             0.77375,             0.81194,             0.56033,            0.031061,           0.0097387,           0.0082099,           0.0089902,           0.0089902,           0.0089902
                  53,            0.029077,            0.015781,           0.0075862,             0.82597,             0.78472,             0.82144,              0.5588,            0.031534,           0.0089323,           0.0065586,           0.0089704,           0.0089704,           0.0089704
                  54,            0.028817,            0.015461,            0.006905,             0.83594,             0.84516,             0.85843,             0.58537,            0.030923,           0.0082818,           0.0062787,           0.0089506,           0.0089506,           0.0089506
                  55,            0.028849,            0.015623,           0.0078116,             0.85166,             0.76483,             0.82907,             0.57042,            0.032392,           0.0089775,           0.0076466,           0.0089308,           0.0089308,           0.0089308
                  56,             0.02923,             0.01585,           0.0073009,             0.82778,             0.82341,             0.85578,             0.59203,            0.030296,            0.008465,           0.0050101,            0.008911,            0.008911,            0.008911
                  57,            0.028559,            0.015071,           0.0066843,             0.82273,             0.83967,             0.85306,             0.60317,             0.03023,           0.0082441,           0.0056976,           0.0088912,           0.0088912,           0.0088912
                  58,            0.027974,            0.015175,           0.0068272,             0.83844,             0.82669,              0.8617,             0.60311,             0.03005,           0.0081425,           0.0055412,           0.0088714,           0.0088714,           0.0088714
                  59,            0.028335,            0.015238,           0.0066321,             0.82842,             0.82986,             0.86162,             0.60218,            0.030032,           0.0082194,           0.0041588,           0.0088516,           0.0088516,           0.0088516
                  60,            0.027654,            0.015005,           0.0067053,             0.82498,             0.82458,             0.84721,             0.58022,            0.030566,           0.0084532,           0.0065182,           0.0088318,           0.0088318,           0.0088318
                  61,            0.027506,            0.015103,           0.0066899,             0.82097,              0.8495,             0.86817,             0.60019,            0.030246,            0.008095,           0.0056334,            0.008812,            0.008812,            0.008812
                  62,            0.028216,            0.015165,           0.0059624,              0.8082,             0.86281,             0.85939,             0.58212,            0.030561,           0.0083585,           0.0048972,           0.0087922,           0.0087922,           0.0087922
                  63,            0.028477,            0.015148,           0.0065203,             0.86897,             0.80738,               0.841,             0.59062,            0.031604,            0.008825,           0.0068953,           0.0087724,           0.0087724,           0.0087724
                  64,            0.027138,            0.014728,           0.0065303,             0.81686,             0.81822,             0.83938,             0.58506,             0.03018,           0.0088171,           0.0062238,           0.0087526,           0.0087526,           0.0087526
                  65,            0.028285,            0.015139,           0.0064556,             0.86105,             0.78888,             0.83364,             0.59376,            0.030271,           0.0091638,           0.0050527,           0.0087328,           0.0087328,           0.0087328
                  66,            0.027442,            0.015327,            0.006405,             0.84603,             0.81277,              0.8333,             0.58181,            0.029106,           0.0086013,           0.0069687,            0.008713,            0.008713,            0.008713
                  67,             0.02798,            0.015307,           0.0062458,             0.86296,             0.81738,             0.83904,             0.59884,            0.028983,           0.0086045,            0.006159,           0.0086932,           0.0086932,           0.0086932
                  68,            0.027175,            0.014792,           0.0058441,             0.85116,              0.8296,             0.85142,             0.59798,            0.030054,           0.0083823,           0.0062865,           0.0086734,           0.0086734,           0.0086734
                  69,            0.027256,            0.014959,           0.0061059,             0.80886,             0.82065,             0.83349,             0.58289,            0.029699,           0.0090797,            0.005902,           0.0086536,           0.0086536,           0.0086536
                  70,            0.027014,            0.014395,            0.006059,              0.8215,              0.8619,             0.87724,             0.60862,            0.029276,           0.0084402,           0.0048328,           0.0086338,           0.0086338,           0.0086338
                  71,            0.027404,            0.014574,           0.0064435,             0.82562,             0.83621,             0.85494,             0.59388,            0.029053,            0.008819,            0.004978,            0.008614,            0.008614,            0.008614
                  72,              0.0267,            0.014844,           0.0065662,             0.84148,             0.81022,             0.84039,             0.58297,            0.029161,           0.0087656,           0.0081021,           0.0085942,           0.0085942,           0.0085942
                  73,            0.027348,            0.014981,           0.0062549,             0.82994,             0.84028,             0.86034,             0.60281,            0.029043,           0.0084839,            0.006344,           0.0085744,           0.0085744,           0.0085744
